period,radius,stellar_teff,stellar_logg,stellar_rad,stellar_mag,disposition,insolation,equilibrium_temp,stellar_mass,distance
4.125543472,4.43,6174.0,4.417,1.103,15.506,CONFIRMED,565.35,1243.0,1.158708108597431,1722.8822704591298
2.816504904,12.21,5532.0,4.452,0.955,15.052,CONFIRMED,521.13,1219.0,0.9415204652344948,971.6605122224486
33.93373447,7.34,5040.0,4.628,0.705,15.716,FALSE POSITIVE,8.11,430.0,0.76948694358233,808.3455075157176
3.689920099,1.89,5880.0,4.518,0.917,15.242,CONFIRMED,408.99,1147.0,1.0105590427600553,1150.4581550530736
4.431238488,3.25,5714.0,4.428,1.015,15.367,CONFIRMED,351.23,1104.0,1.0063640304101484,1273.77685541741
11.37936986,3.95,5714.0,4.428,1.015,15.367,CONFIRMED,99.68,806.0,1.0063640304101484,1273.77685541741
26.39432897,3.07,5129.0,4.595,0.763,15.234,CONFIRMED,13.49,489.0,0.835356963425086,725.6659997960551
13.57078281,2.64,5854.0,4.406,1.012,12.882,CONFIRMED,89.61,785.0,0.9510077284382944,424.4561082823491
7.12594387,1.79,5779.0,4.339,1.087,12.791,CONFIRMED,233.31,997.0,0.9403339352778696,426.0708005126279
7.442652004,15.03,6108.0,4.469,0.956,15.27,FALSE POSITIVE,206.78,967.0,0.9811576759074132,1311.0002912528792
16.38489988,2.0,4126.0,4.661,0.615,15.095,CONFIRMED,8.35,433.0,0.631790734986241,355.04254842446034
7.8774163,2.16,4126.0,4.661,0.615,15.095,CONFIRMED,22.18,553.0,0.631790734986241,355.04254842446034
36.4454001,1.99,4126.0,4.661,0.615,15.095,CONFIRMED,2.88,332.0,0.631790734986241,355.04254842446034
3.728732147,6.02,5497.0,4.577,0.809,15.523,CONFIRMED,258.34,1023.0,0.9009901943550463,1009.594171489455
40.4195037,7.51,5446.0,4.507,0.781,15.487,CANDIDATE,11.29,467.0,0.7147021507551118,940.9209686854368
2.243380573,1.99,4149.0,4.698,0.564,15.135,CONFIRMED,107.6,822.0,0.5786037302865742,335.3611982958759
10.40599802,11.23,5746.0,4.393,0.924,15.562,FALSE POSITIVE,113.94,833.0,0.7694261879115194,1282.7737189402474
2.337437946,2.34,5005.0,4.595,0.765,15.334,CONFIRMED,311.16,1070.0,0.8397420318162697,725.4649551244537
7.2406612,19.45,5005.0,4.595,0.765,15.334,CANDIDATE,68.63,734.0,0.8397420318162697,725.4649551244537
3.43591631,0.55,5779.0,4.339,1.087,12.791,CANDIDATE,617.61,1272.0,0.9403339352778696,426.0708005126279
11.59822233,2.65,3688.0,4.79,0.473,15.937,CONFIRMED,5.82,396.0,0.5029737300298006,321.506534801054
6.575315881,5.31,5992.0,4.415,0.989,15.312,CONFIRMED,251.38,1015.0,0.9272900600812336,1330.7201714947903
7.275040844,4.86,5485.0,4.556,0.867,15.08,CONFIRMED,113.64,833.0,0.9859643590799524,878.4543554102127
19.27153892,1.93,4077.0,4.702,0.56,15.385,CONFIRMED,5.66,393.0,0.5757037724387412,360.75826453397184
10.06524317,1.91,4077.0,4.702,0.56,15.385,CONFIRMED,13.43,488.0,0.5757037724387412,360.75826453397184
12.3935651,2.66,5557.0,4.603,0.75,15.505,CONFIRMED,49.68,677.0,0.8221395634324478,948.6126157178336
43.84439721,2.87,5854.0,4.406,1.012,12.882,CONFIRMED,18.77,531.0,0.9510077284382944,424.4561082823491
3.341913228,21.55,5295.0,4.551,0.811,15.629,FALSE POSITIVE,268.67,1032.0,0.8528344391171675,986.0515548082202
1.626630225,32.43,5735.0,4.41,0.973,15.279,FALSE POSITIVE,1355.88,1547.0,0.887255503343808,1181.2083922274276
2.711504086,3.12,6214.0,4.442,1.076,15.541,CONFIRMED,960.79,1420.0,1.1680126972387088,1730.2211174236877
7.21203748,3.32,6214.0,4.442,1.076,15.541,CONFIRMED,260.58,1025.0,1.1680126972387088,1730.2211174236877
14.1798187,1.88,5799.0,4.539,0.878,15.727,FALSE POSITIVE,60.35,711.0,0.9723263451017596,1339.514973147391
8.47237911,2.59,5354.0,4.587,0.788,15.339,CONFIRMED,75.44,751.0,0.8747328898485137,857.0966355402958
60.4189369,2.36,5354.0,4.587,0.788,15.339,CONFIRMED,5.49,390.0,0.8747328898485137,857.0966355402958
12.61190435,7.4,5795.0,4.508,0.919,15.14,CONFIRMED,76.15,753.0,0.9918683766552812,1068.486971776039
1.433769925,46.58,6017.0,4.22,1.339,15.122,FALSE POSITIVE,3209.29,1920.0,1.0848861759868085,1664.5139495009953
10.31872301,28.59,5927.0,4.409,1.06,15.065,FALSE POSITIVE,139.26,876.0,1.0505936023201132,1245.4392800706066
2.539183147,2.06,5519.0,4.35,1.062,15.026,CONFIRMED,743.09,1332.0,0.920602298257156,1062.6546427642904
6.770300385,2.77,5653.0,4.656,0.679,15.591,CONFIRMED,102.87,812.0,0.7613118150985482,924.6440605711242
0.444291966,27.51,5255.0,4.678,0.636,15.748,FALSE POSITIVE,2706.26,1836.0,0.7026470909572115,804.5432499691703
10.181584,7.73,5988.0,4.541,0.836,15.657,CANDIDATE,102.91,812.0,0.8855958569874146,1316.790546245781
20.06036336,1.96,3950.0,4.754,0.493,15.954,CONFIRMED,4.0,361.0,0.5029407902290675,387.4252747143677
