toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,stellar_mass
1018.01,291555748,FALSE POSITIVE,07h26m51.84s,111.716019,-50d15m59.64s,-50.266567,-8.018,11.56,2458492.78078,4.95912,2.509,7440.0,22.9123,673.55,1419.0,10.6254,360.541,5889.0,3.86,2.0,2019-04-01 16:52:01,2021-10-29 12:59:15,1.0565328689813613
1019.01,341420329,CANDIDATE,08h00m35.52s,120.147994,-54d52m42.79s,-54.878552,-11.732,2.586,2459232.446864,5.2341008,3.7078139,20796.9416293,24.2931408,1453.6663847,1574.8381848,10.6348,399.544,7645.0,4.3,1.56203,2019-07-24 17:08:12,2024-02-16 10:08:02,1.77501391679443
102.01,149603524,CONFIRMED,05h48m33.56s,87.139821,-63d59m17.98s,-63.988329,-15.641,26.046,2460187.916571,4.4119378,3.65,15062.0,15.4706,653.252,1408.0,9.7109,175.631,6280.0,4.32092,1.21,2019-05-07 17:42:37,2024-10-03 10:08:02,1.1176704322405617
1020.01,140706664,FALSE POSITIVE,08h33m31.67s,128.381976,-43d49m42.32s,-43.828421,-5.814,4.328,2458521.29108,3.28892,3.793,10518.9,10.541599999999999,29832.6,3661.0,10.7173,906.827,8734.2,4.1,1.23975,2019-07-24 17:08:12,2021-10-29 12:59:15,0.7054906383951728
1021.01,143994283,FALSE POSITIVE,07h57m12.18s,119.30075,-42d59m56.94s,-42.999149,-3.211,-15.082,2458492.90429,1.90879,1.909,618.482,3.34688,985.807,1561.0,10.5551,235.974,6022.6,4.52,1.22,2019-07-24 17:08:12,2021-10-29 12:59:15,1.7969776791231877
1022.01,47384844,FALSE ALARM,10h51m51.58s,162.96491,-05d47m19.35s,-5.788708,-15.787,-11.849,2458547.448,3.09574,4.475,380.0,3.4262,18087.9,3230.0,8.72924,120.666,6084.0,4.13,1.41,2019-06-04 14:32:44,2023-06-06 12:02:56,0.9778252475080985
1023.01,238374636,FALSE POSITIVE,08h03m21.05s,120.837688,-51d20m44.25s,-51.345626,-23.366,22.652,2459303.303969,1.3214483,3.435,2180.0,21.8839,35623.2,3827.0,9.697,316.398,5050.8,3.56,2.99,2019-07-24 18:44:12,2021-12-07 16:02:02,1.183492194374402
1024.01,141482386,FALSE POSITIVE,05h47m16.97s,86.820714,-72d25m21.4s,-72.422611,1.128,11.563,2458339.72276,18.0157,2.524,610.0,21.644,7.64364,463.0,10.0814,692.266,4709.0,4.33,7.61,2019-07-24 18:44:12,2021-10-29 12:59:15,45.14319935371656
1025.01,297967252,CANDIDATE,09h30m05.08s,142.521159,-51d31m01.61s,-51.517114,-19.153,11.046,2458545.149804,9.6837921,2.4006056,4238.2399008,10.541599999999999,3176.3106916,1914.698926,5.5324,129.838,8598.7,4.33,1.23975,2019-07-24 18:44:12,2024-09-15 12:02:47,1.198094998525787
1026.01,388624270,FALSE POSITIVE,08h21m44.31s,125.434634,-51d45m33.99s,-51.759442,47.228,-6.325,2460720.807674,14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,9.9138,105.677,5690.0,4.58,0.853898,2019-06-11 14:45:00,2025-09-02 16:00:02,1.0107296685172802
1027.01,20318757,CANDIDATE,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,12.992,2460037.86905,3.2834565,1.537,1558.0,2.87648,161.092,992.0,10.2103,56.3449,4272.0,4.6,0.68,2019-07-24 18:44:12,2023-06-05 12:03:22,0.6711828434676941
1027.02,20318757,CANDIDATE,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,12.992,2460032.53325,11.02875,2.715,1694.0,2.76586,15.0463,548.0,10.2103,56.3449,4272.0,4.6,0.68,2021-06-03 22:37:59,2024-09-01 12:02:56,0.6711828434676941
1027.03,20318757,CANDIDATE,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,12.992,2460032.57304,5.0113292,1.024,1210.0,2.52314,17.1793,567.0,10.2103,56.3449,4272.0,4.6,0.68,2023-05-18 23:08:27,2023-06-05 12:03:22,0.6711828434676941
1028.01,447283466,FALSE POSITIVE,10h28m23.6s,157.098337,-51d42m19.47s,-51.705409,30.65,-33.906,2458544.48066,1.01606,2.843,240.0,1.20704,2784.04,2023.0,7.9059,23.7748,4634.0,4.64,0.68,2019-07-24 18:44:12,2021-10-29 12:59:15,0.735937353487711
1029.01,374908020,FALSE POSITIVE,05h54m57.38s,88.73909,-65d57m31.82s,-65.958839,-1.59,-3.4545,2458365.89313,36.22214,5.107,7170.0,10.541599999999999,363.6038948,1183.0274647,6.841,364.963,5801.93,4.33,1.23975,2019-06-11 14:45:03,2021-12-07 16:02:02,1.198094998525787
103.01,336732616,CONFIRMED,20h49m49.8s,312.457488,-24d25m43.3s,-24.428694,10.426,15.62,2458327.25256,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,11.5232,411.211,6351.0,4.22896,1.4,2018-09-05 18:49:20,2024-09-07 10:08:02,1.2107071093611204
1030.01,464296022,FALSE POSITIVE,10h23m19.55s,155.831478,-57d35m24.89s,-57.590248,-26.184,22.489,2460054.783937,12.1246519,4.612,7279.0,17.6729,207.32,1057.0,9.5706,78.41273,4807.6,4.17,1.07,2019-07-24 18:44:12,2023-05-31 10:10:01,0.6174340507703723
1031.01,304021498,FALSE POSITIVE,09h23m32.13s,140.88389,-67d01m33.62s,-67.026006,-23.901,3.03,2459304.837939,5.652623,3.434,1250.0,8.94354,2717.06,2011.0,9.7318,270.771,6415.4,3.98,1.92,2019-06-25 15:58:39,2024-09-19 10:08:01,1.2835874986361981
1032.01,146589986,CANDIDATE,10h36m53.16s,159.221506,-42d32m29.9s,-42.541639,-15.15,6.437,2459283.828685,5.6643704,3.8087395,3491.8232968,14.7738943,7657.6621505,2385.8536488,9.7611,587.196,10395.0,4.13,2.3383701,2019-07-24 18:44:12,2024-01-17 10:08:02,2.689363582528348
1033.01,149601557,FALSE POSITIVE,05h49m07.82s,87.282586,-60d29m54.4s,-60.498444,8.9,20.7,2460195.100648,29.0160175,5.345,1389.0,6.77406,33.2234,1183.0274647,10.0163,219.94,6113.1,4.33,2.01,2019-06-11 14:45:00,2025-06-03 16:00:01,3.149307997965024
1034.01,400595342,FALSE POSITIVE,08h57m46.02s,134.441752,-49d00m02.08s,-49.000578,-4.837,4.109,2459283.337537,3.6344692,2.5339234,628.699015,4.2048368,5420.178349,2188.3820499,9.8174,363.44,9810.0,4.43,1.60776,2019-07-24 18:44:12,2024-09-09 10:08:01,2.5366786885720285
1035.01,361413119,CANDIDATE,09h36m36.07s,144.150273,-61d34m59.46s,-61.583182,-9.506,16.897,2459286.872605,6.0744477,2.4954821,5982.5212406,30.9493217,1487.5644344,1583.9398898,10.1126,347.556,5964.0,3.7,2.4303801,2019-07-24 18:44:12,2025-07-09 16:00:02,1.0793726821714218
1036.01,146172354,CANDIDATE,10h31m28.11s,157.867112,-42d14m25.61s,-42.240448,10.992,-57.748,2460037.172273,3.7795212,2.952,2761.0,5.98375,466.528,1294.0,10.2855,184.015,5771.0,4.31,1.18,2019-07-24 18:44:12,2023-05-05 16:02:01,1.0365423145018375
